date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-13,280.5,255,280.5,0,280.5,283,3951,1107132.1
2023-08-14,308.5,286.1,308.5,280.5,28,748,8672,2674381.4
2023-08-15,339.3,277.7,287.1,308.5,-21.399999999999977,4277,56896,16763567
2023-08-16,303,264.9,294,287.1,6.899999999999977,1251,16159,4428101.4
2023-08-17,291.3,271.5,287,294,-7,692,10938,3097843.8
2023-08-20,285.9,267.1,272.6,287,-14.399999999999977,581,11601,3154169
2023-08-21,272,261,261,272.6,-11.600000000000023,375,6816,1814623.4
2023-08-22,264.9,253,257,261,-4,344,5900,1512930.2
2023-08-23,269.2,253,266,257,9,433,14937,3901181.5
2023-08-24,263,254.3,257,266,-9,286,6972,1798541
2023-08-27,253,245.1,247,257,-10,324,6217,1545899.7
2023-08-28,256,240,241,247,-6,250,4331,1048832
2023-08-29,255,230.6,237,241,-4,226,8770,2070844
2023-08-30,235.7,227.7,231,237,-6,273,10631,2465814.7
2023-09-03,254.1,231.1,254.1,231,23.099999999999994,494,17722,4311325.5
2023-09-04,279.5,245,279.5,254.1,25.400000000000006,560,25428,6906827.7
2023-09-05,307.4,274,295,279.5,15.5,800,30903,9263211.3
2023-09-07,317,284,317,295,22,560,26341,7672766.3
2023-09-10,343.7,294,343.7,317,26.69999999999999,786,32028,9940369
2023-09-11,378,310.9,378,343.7,34.30000000000001,563,36763,11884785.1
2023-09-12,370.5,340.2,340.2,378,-37.80000000000001,226,13382,4559858.3
2023-09-13,333.4,308,313,340.2,-27.19999999999999,468,31300,9954421
2023-09-17,344.3,307,337.7,313,24.69999999999999,766,60120,19743840.1
2023-09-18,371.4,331,371.4,337.7,33.69999999999999,804,31462,11420670.1
2023-09-19,408.5,364,408.5,371.4,37.10000000000002,677,30301,11718097.5
2023-09-21,449.3,395,449.3,408.5,40.80000000000001,919,63479,26219770.1
2023-09-24,493,404.4,493,449.3,43.69999999999999,788,67281,27623441.1
2023-09-25,483.2,443.7,443.7,493,-49.30000000000001,97,16499,7321640.3
2023-09-26,434.9,399.4,419,443.7,-24.69999999999999,705,43195,17548537.5
2023-09-27,414.2,395,402.1,419,-16.899999999999977,372,23671,9506298.8
2023-10-01,399,367.6,370,402.1,-32.10000000000002,396,23847,8987770.2
2023-10-02,399,350,394.9,370,24.899999999999977,339,17718,6834952.9
2023-10-03,402,381,395,394.9,0.10000000000002274,232,11415,4439349.5
2023-10-04,410,372,388.1,395,-6.899999999999977,238,13416,5313621.6
2023-10-05,395,377.1,380,388.1,-8.100000000000023,161,4117,1564598.3
2023-10-08,387,357,359,380,-21,231,14992,5493442.4
2023-10-09,392.6,352,375,359,16,234,13904,5190708.5
2023-10-10,377.4,357,358,375,-17,165,8607,3143374.2
2023-10-11,372,351,354.3,358,-3.6999999999999886,147,6217,2217606.9
2023-10-12,366,341,350,354.3,-4.300000000000011,203,7649,2685576.5
2023-10-16,349,330,342.7,350,-7.300000000000011,201,9757,3291050.1
2023-10-17,356,327,330,342.7,-12.699999999999989,139,6540,2198934.5
2023-10-18,340.6,330,336,330,6,74,2270,761749
2023-10-19,346,330,334.9,336,-1.1000000000000227,58,3786,1268959.3
2023-10-29,328.3,315.4,322.3,334.9,-12.599999999999966,86,4285,1367978
2023-10-30,330,315,329.9,322.3,7.599999999999966,103,2580,829595
2023-10-31,326,317,323,329.9,-6.899999999999977,70,2022,650215
2023-11-01,329,317,319,323,-4,84,3166,1014983
2023-11-02,325,310,316,319,-3,120,4243,1328802.3
2023-11-05,317,300.3,317,316,1,117,2639,808172.5
2023-11-06,323.1,311.3,316.3,317,-0.6999999999999886,85,2230,705136.5
2023-11-07,328,310.3,320,316.3,3.6999999999999886,79,2633,836995.8
2023-11-08,326,311.1,320,320,0,63,1530,484176.2
2023-11-09,319,307.8,308.7,320,-11.300000000000011,59,2970,924799.5
2023-11-20,327.8,310.1,319.9,308.7,11.199999999999989,125,6150,1979995.4
2023-11-21,329.9,314,319.9,319.9,0,104,7990,2563443.8
2023-11-22,351.8,312,351,319.9,31.100000000000023,224,15796,5357855.4
2023-11-23,385,341,381.1,351,30.100000000000023,309,19895,7484622.3
2023-11-26,396,374.5,390,381.1,8.899999999999977,263,18096,7042770.5
2023-11-27,390,374.6,375.1,390,-14.899999999999977,183,12119,4582029.1
2023-11-28,380,368.1,375,375.1,-0.10000000000002274,131,6089,2279371.5
2023-11-29,388,363.7,365,375,-10,101,5080,1888119
2023-11-30,371.9,350,353,365,-12,100,7241,2598010.7
2023-12-03,388.3,350.5,387,353,34,236,18571,6960268.1
2023-12-04,407,372,390,387,3,264,18648,7361225.5
2023-12-05,395,369.8,375,390,-15,117,10765,4123555
2023-12-06,385.9,368.2,373.1,375,-1.8999999999999773,71,2885,1082116
