date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-17,538.4,499.2,538.4,489.49,48.90999999999997,54,2554,1363372.3
2023-07-18,592.2,545,592.2,538.4,53.80000000000007,61,7651,4528364.2
2023-07-19,651.4,604,631,592.2,38.799999999999955,2160,375277,235745457.3
2023-07-20,643.4,620,621,631,-10,559,95250,59458872.8
2023-07-23,642,616.2,640,621,19,555,110633,69691514.8
2023-07-24,644,625.1,632.3,640,-7.7000000000000455,414,86302,54857493.4
2023-07-25,638,626.2,627.2,632.3,-5.099999999999909,333,53853,33977320.7
2023-07-26,632.6,620,620,627.2,-7.2000000000000455,172,27511,17249931.6
2023-07-27,628,612.5,613,620,-7,249,36151,22337221.4
2023-07-30,623,592,602,613,-11,313,50025,30032415.1
2023-07-31,612.5,595,602,602,0,177,28758,17379337.8
2023-08-01,608,581,585.5,602,-16.5,196,28219,16718499.1
2023-08-02,597,573,588,585.5,2.5,186,27874,16178470.7
2023-08-03,586.5,580,584,588,-4,180,17944,10450671.3
2023-08-06,583.8,560,565,584,-19,133,15012,8512607.6
2023-08-07,575,553,569,565,4,136,19218,10843845.4
2023-08-08,575,558,564.7,569,-4.2999999999999545,133,17979,10133610.8
2023-08-09,580,554,580,564.7,15.299999999999955,186,29177,16569241.6
2023-08-10,605,573,597.1,580,17.100000000000023,274,53560,31847974.5
2023-08-13,614,590,609,597.1,11.899999999999977,259,45370,27313839.1
2023-08-14,621,603.1,606.9,609,-2.1000000000000227,193,41357,25341888.4
2023-08-15,609.5,590,592,606.9,-14.899999999999977,213,34628,20610434.3
2023-08-16,592,580,584.8,592,-7.2000000000000455,186,40063,23458095.3
2023-08-17,598,588,588.2,584.8,3.400000000000091,130,22226,13198880.3
2023-08-20,593,576.3,576.3,588.2,-11.900000000000091,123,20987,12236266.6
2023-08-21,585,570,573,576.3,-3.2999999999999545,176,53639,30906132.6
2023-08-22,584,566,582.9,573,9.899999999999977,188,94857,54193949
2023-08-23,608,585,604,582.9,21.100000000000023,269,48976,29297830.2
2023-08-24,610,584,596,604,-8,225,43431,25726551.8
2023-08-27,600,578,580,596,-16,214,42830,24960541.3
2023-08-28,588,577,577,580,-3,136,25278,14705465.1
2023-08-29,599.7,573,580,577,3,107,20320,11818206.9
2023-08-30,588.9,577.5,580,580,0,141,33752,19588859.9
2023-09-03,580,566.2,569,580,-11,124,25698,14695439.2
2023-09-04,577.9,560,569.9,569,0.8999999999999773,108,22904,13075160
2023-09-05,574,563,563.1,569.9,-6.7999999999999545,91,12645,7148627
2023-09-07,567,555.1,556.1,563.1,-7,119,16289,9091301.1
2023-09-10,566.9,554.1,561,556.1,4.899999999999977,80,11593,6504785.8
2023-09-11,584,561.1,580,561,19,150,25328,14593113.6
2023-09-12,578,565,569.9,580,-10.100000000000023,117,21068,12069783.8
2023-09-13,590,566.1,587,569.9,17.100000000000023,147,26683,15451517.8
2023-09-17,580,565,566,587,-21,143,29387,16762575
2023-09-18,580,563,568.3,566,2.2999999999999545,59,6558,3739060.9
2023-09-19,580,565.1,577.8,568.3,9.5,64,7784,4457930.9
2023-09-21,597,583,587.3,577.8,9.5,228,38912,22940435.9
2023-09-24,594,575.6,584,587.3,-3.2999999999999545,155,27470,16018746
2023-09-25,594.9,568,576.5,584,-7.5,85,7949,4566396.8
2023-09-26,589,578,585.1,576.5,8.600000000000023,130,22694,13289141.6
2023-09-27,585,569,575,585.1,-10.100000000000023,116,15052,8618588.4
2023-10-01,569,560,564,575,-11,104,12577,7087034.4
2023-10-02,567,557,565,564,1,104,12125,6811285.9
2023-10-03,563.9,555.1,557,565,-8,92,10189,5697905.7
2023-10-04,567,555,563.9,557,6.899999999999977,71,7685,4322144.8
2023-10-05,565,556.1,557,563.9,-6.899999999999977,73,10675,5975191.2
2023-10-08,556,545,548,557,-9,101,12807,7010361.6
2023-10-09,548,539.4,540,548,-8,84,8089,4386905.9
2023-10-10,550,516,517,540,-23,127,16210,8513340.3
2023-10-11,537,497,518.1,517,1.1000000000000227,91,8017,4176529.2
